












YEAR,- all -,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Channel,- multiple -,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Sum of Jumlah,,,WEEK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,300000040,UHT STRAWBERRY KIDS (45 Pcs),3,3,5,6,5,7,12,3,11,12,5,18,13,5,,1,2,,1,,1,1,1,,,,,,,,,,,,,,,,,115,0,2.875,0,0,11.5,0,0,,300000040,UHT STRAWBERRY KIDS (45 Pcs)
,300000041,UHT VANILLA KIDS (45 Pcs),2,2,10,3,,8,10,4,5,1,4,6,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,59,0,1.475,0,0,5.9,0,0,,300000041,UHT VANILLA KIDS (45 Pcs)
,300000100,UHT FULL CREAM TEENS (24 Pcs),2,5.833,13.458,14.583,10,8,8.579,13,6.835,17.459,9.917,8.167,6.041,15.416,7.25,11.583,17.335,14.836,12.084,7.5,13.919,2,8.252,12.708,10,8,8.125,4.998,8.25,32.583,15,70.499,3,2,10.002,17.208,62.166,122.123,49.5,670.209,52.1998,16.755225,61.956,90.499,67.0209,134.0418,134.1,,300000100,UHT FULL CREAM TEENS (24 Pcs)
,,UHT FULL CREAM TEENS (24 Pcs) TP,,,,,,,,,,,,,,,,,,,,1.499,3.707,2.209,3.628,4.043,4.294,0.459,,,,,,,,,,,,,,19.839,0,0.495975,0.459,0,1.9839,0,0,,,UHT FULL CREAM TEENS (24 Pcs) TP
,300000105,UHT MILKSHAKE CHOCO MACHIATO TEENS (24 Pcs),,,17.17,16.503,9.517,4.871,8.071,2.994,5.166,19.129,5.375,23.083,1.832,7.627,7.62,9.788,2,4.627,7.834,8.335,15,15.5,8.502,6.917,29.042,8,8.542,6.832,5.625,17,11,5.208,3.5,,2,0.083,0.042,,1.999,306.334,1.031,7.65835,45.999,19.708,30.6334,33.69674,33.7,,300000105,UHT MILKSHAKE CHOCO MACHIATO TEENS (24 Pcs)
,300000106,UHT MILKSHAKE STRAWBERRY CHEESE TEENS (24 Pcs),,,18.963,16.011,9.515,4.372,7.072,2.994,5.544,15.755,4.04,10.833,3.667,3.916,8.329,8.624,12.834,7.127,7.333,14.418,4.002,1,,1,1,0.999,12.041,6.833,3.123,6,27.5,5.417,0.5,,3.495,8.455,13.542,7.499,16,279.753,9.7982,6.993825,28.996,33.417,27.9753,30.77283,30.8,,300000106,UHT MILKSHAKE STRAWBERRY CHEESE TEENS (24 Pcs)
,300000107,UHT MILKSHAKE COOKIES CREAM TEENS (24 Pcs),,,20.458,22.376,10.599,8.371,18.984,8.828,5.166,21.795,11.009,31.925,9.165,9.292,12.91,16.99,8.004,4.957,26.332,16.122,46,5.003,8.504,6.166,3,2,4.041,16.998,10.169,34.001,9.5,11.209,24,6,5.498,7.834,20.542,41.999,16.997,542.744,18.574,13.5686,67.209,50.709,54.2744,81.4116,81.5,,300000107,UHT MILKSHAKE COOKIES CREAM TEENS (24 Pcs)
PTB,300000100,UHT FULL CREAM TEENS (24 Pcs),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,0.025,0,0,0.1,0.28,0.3,,30000092,5DAYS DELI MILKY CHOCO (20 Pcs)
,30000085,TUBRUK GADJAH MANIS RTG (12x10),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.5,0.5,0.0125,0,0,0.05,0.09,0.1,,30000093,5DAYS DELI HAPPY BERRY (20 Pcs)
,30000092,5DAYS DELI MILKY CHOCO (20 Pcs),9.3,40.1,29.35,25.15,23.45,21.3,16.25,11.6,2.65,8.3,11.6,27.05,31.8,15.3,21.2,16.6,12.5,4.5,33,18.95,22.5,19.85,24.3,21.55,43.35,38.4,23.55,0.85,22,73.95,171.25,244.1,19.5,8.65,7.6,37.9,20.1,269.9,36.5,1485.75,74.4,37.14375,158.75,443.5,148.575,178.29,178.3,,40398,5DAYS MIX BERRIES (40 Pcs)
,30000093,5DAYS DELI HAPPY BERRY (20 Pcs),9.3,29.3,32.25,21.5,12.8,9.4,18,,,8.75,14.55,24.75,22.45,11.9,8.15,17.6,10.5,4,10,6.25,5.4,7,7,17.8,5.25,21.35,13.55,5.15,22,55,110.5,94.55,9.8,6.6,15.25,25.25,12.8,104.1,20.6,830.4,35.6,20.76,117.05,221.45,83.04,99.648,99.7,,40399,5DAYS CHOCOLATE (40 Pcs)
,40398,5DAYS MIX BERRIES (40 Pcs),10.35,18.175,19.4,21.2,34.925,18.95,17.675,22.4,11.775,12.725,8.4,27.8,16.15,19.775,12.725,19.1,14.45,19.375,11.525,6.525,26.375,12.95,27.05,18.875,49.4,8.875,28.05,27.2,19.05,47.65,51.15,29.875,15.15,10.5,32.575,18.725,17.85,11.05,13.15,808.9,18.67,20.2225,130.825,106.675,80.89,88.979,89,,40414,5DAYS CREAMY CHEESE (40 Pcs)
,40399,5DAYS CHOCOLATE (40 Pcs),10.2,22.1,23.775,28.275,37.45,18.625,21.975,26.3,15.8,20.45,22.35,47.6,17.6,17.5,28.9,21.1,25.425,23.325,15.05,13.35,42.175,17.85,38.275,26.475,65.25,11.975,35.25,30.625,22.75,57.1,59.2,42.675,21.6,20.6,44.725,35.85,43.675,15.9,16.225,1105.325,31.275,27.633125,157.7,144.075,110.5325,77.37275,77.4,,40435,5DAYS FAMILY PACK BAG (8x5)
,40414,5DAYS CREAMY CHEESE (40 Pcs),7.2,13.1,17.7,13.325,33.3,15.7,14.825,23.725,4.325,6.925,11.1,15.95,12.375,20.275,12.35,12.6,16.25,16.4,13.25,7.1,21.725,12.35,18.575,16.975,25.5,7.225,27.075,23.425,17,44.7,44.625,25.125,12.05,13.25,32.325,17.35,17.125,11,14.75,689.925,18.51,17.248125,119.425,95.05,68.9925,68.9925,69,,40462,5DAYS PANDAN SRIKAYA (40 Pcs)
,40435,5DAYS FAMILY PACK BAG (8x5),,0.625,5,1,6.375,4.75,3.375,2,1.125,4.375,2.375,,2.375,3.625,0.75,2.375,,1,4.25,3.75,0.375,0.75,6.875,1,3.5,2.375,0.375,2.125,3.25,3,4,1.25,0.75,,2.5,,0.375,1,1,83.625,1.21875,2.090625,11.125,6,8.3625,16.725,16.8,,40477,5DAYS CHOCO BANANA (40 Pcs)
,40462,5DAYS PANDAN SRIKAYA (40 Pcs),6.55,5.675,6.825,12.925,25.8,9.95,8.275,6.125,1.625,4.15,1.975,21,7.8,5.45,9.9,8.6,5.925,5.525,10.4,1.6,14.55,7.8,14.225,7.975,26.3,3.675,8.825,19.425,8.75,39.375,20.225,24.925,8.275,8.175,17.375,9.25,17.7,6.95,6.95,436.8,11.645,10.92,80.05,61.6,43.68,44.5536,44.6,,40434,5DAYS MINI CHOCOLATE BAG (20x8)
,40477,5DAYS CHOCO BANANA (40 Pcs),,,,,,,,,,,1.1,3.5,0.75,0.6,1,1.125,2.3,1.3,0.55,0.15,1.1,0.55,10.15,0.375,1,0.45,,4.375,2.575,30.075,6.35,13.85,7.125,5.95,11.7,22.625,9.925,4.2,3.95,148.7,10.48,3.7175,37.475,33.275,14.87,11.896,11.9,,30000208,CAF RTD MILKY ESPRESSO (12)
,40434,5DAYS MINI CHOCOLATE BAG (20x8),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,2,0,0.05,0,2,0.2,0.16,0.2,,30000209,CAF RTD OAT CAPPUCCINO (12)
SKP BEV,30000208,CAF RTD MILKY ESPRESSO (12),68.667,92,369.75,98.916,164.417,87.083,112.5,99.833,108.5,114.334,82.333,134.332,141.667,192.666,210.5,111.251,332,107.501,89,132.917,152.416,144.499,102.25,121.916,117.667,300.5,137.666,222.749,155.166,336.582,203.002,65,18.583,126.083,128.667,118.251,122.501,324.25,102.25,5850.165,159.1838,146.254125,1152.663,412.668,585.0165,643.51815,643.6,,30000298,CAF RTD OAT MARIE LATTE (12)
,30000209,CAF RTD OAT CAPPUCCINO (12),73.667,97.5,273.834,144.583,293.083,91.416,94.75,75.5,148.25,148.001,99.75,128.915,148.25,197.334,257.916,136.084,341.917,173.418,106.417,134.334,156.583,155.25,113,140.916,136.501,321.084,143.832,235.083,162.416,344.248,254.502,152.499,80.5,39,101.666,125.169,139.167,340.915,120,6427.25,165.3834,160.68125,1206.663,526.501,642.725,642.725,642.8,,30000299,CAF RTD SPANISH LATTE (12)
,30000298,CAF RTD OAT MARIE LATTE (12),,,,,,,2.5,26,232.499,67.75,19.75,42.582,102.333,128.833,59.749,44.167,126.25,53.416,36.75,40.25,111.25,51.999,46,27.5,93,175,49.499,133.499,86.331,229.498,80.333,71.082,74.833,135.583,63.417,27.75,45.75,166.167,32.25,2683.57,67.0668,67.08925,673.827,361.831,268.357,295.1927,295.2,,30000002,CAF CH HAZELNUT RTG (20x10)
,30000299,CAF RTD SPANISH LATTE (12),,,,,,,2.5,24,225.249,63.583,19.083,38.75,99.5,126.249,59.583,36.251,118.75,44.833,31.25,37.666,99.25,49.5,44,20.332,80.166,29.5,8.5,119.5,105.579,99.247,81.333,59.583,50.083,128.582,51.833,27.75,38.75,166.5,23.75,2210.985,61.7166,55.274625,362.326,319.581,221.0985,243.20835,243.3,,30000006,CAF CH HAZELNUT PCH (20x10)
SKP KOPI,30000002,CAF CH HAZELNUT RTG (20x10),5.55,0.7,,5.5,25.85,9.25,15.35,13.05,20.55,7,7.25,29.95,6.35,17.95,9.85,9.05,23.65,6,10.25,8.35,30.1,6.55,9.2,12.6,16.25,12.1,8.6,14.9,20.05,15.35,17.25,8.9,6.7,8.55,6.6,5,8.85,28.65,14.75,482.4,12.77,12.06,71,41.4,48.24,38.592,38.6,,30000044,CAF BOLD PCH (24x5)
,30000006,CAF CH HAZELNUT PCH (20x10),,0.6,0.3,2.3,,,0.3,7,1.15,2,8,2,1,,3,3.15,2,0.15,0.3,11.45,,0.3,2,1,0.6,0.3,,0.3,2.05,0.2,,2,,1.15,1,,1.65,1.25,,58.5,1.3,1.4625,2.85,3.15,5.85,7.02,7.1,,30000045,CAF BOLD RTG (12x10)
